dateCreated,dateModified,entry_id,entry_guid,form,lang,trait,order,rel_order,rel_type,rel_ref,rel_primacy,rel_compform,rel_variant,sense_id,sense_order,sense_gram,sense_gloss_en,sense_gloss_idn,rev_en,rev_id,pict,etym_type,etym_proto,etym_borrowed,x_eno_source,x_eno,x_idn,x_eng,notes_eng,notes_idn,cit_form
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,tahi_0020890a-2db3-4e94-aa54-bcb5f2e1d7cc,0020890a-2db3-4e94-aa54-bcb5f2e1d7cc,tahi,eno,stem,,0,_component-lexeme,taih_893dd3e0-c723-4e4a-aea1-fb78c89b4650,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-09T22:34:23Z,pen_0030a226-2484-48aa-bb61-557eba540b42,0030a226-2484-48aa-bb61-557eba540b42,pen,eno,stem,,,,,,,,2bce727a-9d17-429b-995d-9db254d37966,,Noun (Indo.),pen,pena,pen,pena,,borrowed,,Old Idn.,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,kipe_006433c6-f208-47b6-823d-ce7e4743dd99,006433c6-f208-47b6-823d-ce7e4743dd99,kipe,eno,stem,,0,_component-lexeme,pe1_db61b853-4846-47f3-adf2-f5e83c112ee0,true,Complex Form,,a2e2ed72-c6da-4c93-8c5f-fd5dd0aa4908,,Verb,give,memberi,give,memberi,,,,,SMP_12,Ik kipe dupi paruha yahėr minyak kayo'o hãpĩ kak ka'doha.,"Kita bisa memberi ongkos untuk membantu membeli minyak, mengikuti kehendak harga dari pemilik perahunya.","We give money to help (the boat owner) with the gas purchase, following the desire price given by the boat owner.",,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,kipe_006433c6-f208-47b6-823d-ce7e4743dd99,006433c6-f208-47b6-823d-ce7e4743dd99,kipe,eno,stem,,0,_component-lexeme,pe1_db61b853-4846-47f3-adf2-f5e83c112ee0,true,Complex Form,,a2e2ed72-c6da-4c93-8c5f-fd5dd0aa4908,,Verb,give,memberi,give,memberi,,,,,SMP_3,Ke' ipihia' bu̇dia' - ki kipe henap he kak mėh.,Tidak bisa menjualnya - mereka hanya bisa berbagi/memberikan kepada orang lain.,(We) could not sell - they could only give to other people.,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,kipe_006433c6-f208-47b6-823d-ce7e4743dd99,006433c6-f208-47b6-823d-ce7e4743dd99,kipe,eno,stem,,0,_component-lexeme,pe1_db61b853-4846-47f3-adf2-f5e83c112ee0,true,Complex Form,,a2e2ed72-c6da-4c93-8c5f-fd5dd0aa4908,,Verb,give,memberi,give,memberi,,,,,SMP_8,“A hai kitena ė' kipe henap bibit ė' he a da'ru.”,“Kami juga senang pak Milson memberi saja bibit (melinjonya) kepada kami berdua.”,“We are also happy that you simply give your (melinjo) seed to both of us.”,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,kipabu̇h_006c4587-5dbf-473c-ac5e-4807cd5072d7,006c4587-5dbf-473c-ac5e-4807cd5072d7,kipabu̇h,eno,stem,,0,_component-lexeme,abu̇h2_41f71581-5e5f-4efe-8d81-4f406df559a5,true,Complex Form,,131379ce-f4b0-4086-931b-22c72ab95047,,Verb,cook,masak,cook,masak,,,,,SMP_4,Herman kipabu̇h arkih.,Herman memasak nasi.,Herman cooks rice.,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,e'bek_0083d268-b040-42de-a641-4ec9d8826057,0083d268-b040-42de-a641-4ec9d8826057,e'bek,eno,stem,,0,_component-lexeme,o'bek_5c469574-b655-47e4-abd6-14fce5158d5b,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,du̇du̇k_00a7f948-89ae-4fe3-a400-efa71aed7efb,00a7f948-89ae-4fe3-a400-efa71aed7efb,du̇du̇k,eno,stem,,0,_component-lexeme,duduk_5265b267-ec76-4b6e-b281-55a003ecb30a,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-09T22:34:23Z,ro'_00e3fc6a-ed2d-4118-b44c-d27ca06e5e03,00e3fc6a-ed2d-4118-b44c-d27ca06e5e03,ro',eno,stem,,,,,,,,2b4d6c48-16e5-451c-8178-31232ca27299,,Noun (Indo.),skirt,rok,skirt,rok,,borrowed,,Idn.,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,abua'_00f162d2-69a5-42e3-8064-8507d9be1ed3,00f162d2-69a5-42e3-8064-8507d9be1ed3,abua',eno,stem,,,,,,,,d12bf804-6f2c-4cc0-96c4-296c773d8306,,Verb,use,pakai; gunakan,use,gunakan ; pakai,,proto,'obua'a,,,,,,,,
